crc_32,libbs,fibcall,cover,lcdnum,jfdctint,compress
0.7198,0.0272,0.0434,0.1729,0.0493,0.0236,0.0289
2385.009,5002.5759,3269.9173,2425.3041,5106.6208,17013.7908,5712.7342
4.0622,4.0634,4.0551,3.8528,4.103,3.9005,3.8385
6.2109,6.2243,6.2382,6.5316,6.2886,6.199,6.2155
28.5876,28.9153,28.5788,29.5217,28.7191,29.6837,28.8848
0.9277,1.1462,1.0319,1.081,1.0302,1.2251,1.2817
8.0171,7.7882,8.1238,15.0461,8.7301,10.2265,10.3689
2806.6338,5034.9758,3575.8372,2707.719,5851.8827,14729.0291,5524.0037
